form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,morphanalysis_tag,overabundance_tag,order_tag,source,page,language_id
monsang285,mu,1.pl.incl.3.sg.nfut.neg,m̥ù-màː-mɘ́,Σmààmɘ́,Σ m aa ¹ m ɘ ⁵,Σ+màà+mɘ́,Σ + m aa ¹ + m ɘ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang286,kʰi:r,1.pl.excl.3.pl.nfut.neg,kʰìːr-máː-h-ú-ŋ,Σmááhúŋ,Σ m aa ⁵ h u ⁵ ŋ,Σ+máá+h+ú+ŋ,Σ + m aa ⁵ + h + u ⁵ + ŋ,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang287,kʰi:r,1.pl.excl.3.pl.nfut.neg,kʰìːr-má-ú-ŋ,Σmáúŋ,Σ m a ⁵ u ⁵ ŋ,Σ+má+ú+ŋ,Σ + m a ⁵ + u ⁵ + ŋ,,tone_alt_stem,optional_plural,,Konnerth2025Monsang,nopage,monsang
monsang288,kʰi:r,1.pl.incl.3.pl.nfut.neg,kʰìːr-máː-mé-hɘ́,Σmááméhɘ́,Σ m aa ⁵ m e ⁵ h ɘ ⁵,Σ+máá+mé+hɘ́,Σ + m aa ⁵ + m e ⁵ + h ɘ ⁵,,tone_alt_stem,,variable_order,Konnerth2025Monsang,nopage,monsang
monsang289,kʰi:r,1.pl.incl.3.pl.nfut.neg,kʰìːr-máː-hé-mɘ́,Σmááhémɘ́,Σ m aa ⁵ h e ⁵ m ɘ ⁵,Σ+máá+hé+mɘ́,Σ + m aa ⁵ + h e ⁵ + m ɘ ⁵,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang290,kʰi:r,1.pl.incl.3.pl.nfut.neg,kʰìːr-máː-mɘ́,Σmáámɘ́,Σ m aa ⁵ m ɘ ⁵,Σ+máá+mɘ́,Σ + m aa ⁵ + m ɘ ⁵,,tone_alt_stem,optional_plural,,Konnerth2025Monsang,nopage,monsang
monsang291,mu,1.pl.excl.3.pl.nfut.neg,m̥ù-mà-ú-ŋ,Σmàúŋ,Σ m a ¹ u ⁵ ŋ,Σ+mà+ú+ŋ,Σ + m a ¹ + u ⁵ + ŋ,,,optional_plural,,Konnerth2025Monsang,nopage,monsang
monsang292,mu,1.pl.excl.3.pl.nfut.neg,m̥ù-màː-h-ú-ŋ,Σmààhúŋ,Σ m aa ¹ h u ⁵ ŋ,Σ+màà+h+ú+ŋ,Σ + m aa ¹ + h + u ⁵ + ŋ,default,,,,Konnerth2025Monsang,nopage,monsang
monsang293,mu,1.pl.incl.3.pl.nfut.neg,m̥ù-màː-mé-hɘ́,Σmààméhɘ́,Σ m aa ¹ m e ⁵ h ɘ ⁵,Σ+màà+mé+hɘ́,Σ + m aa ¹ + m e ⁵ + h ɘ ⁵,,,,variable_order,Konnerth2025Monsang,nopage,monsang
monsang294,mu,1.pl.incl.3.pl.nfut.neg,m̥ù-màː-hé-mɘ́,Σmààhémɘ́,Σ m aa ¹ h e ⁵ m ɘ ⁵,Σ+màà+hé+mɘ́,Σ + m aa ¹ + h e ⁵ + m ɘ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang295,mu,1.pl.incl.3.pl.nfut.neg,m̥ù-màː-mɘ́,Σmààmɘ́,Σ m aa ¹ m ɘ ⁵,Σ+màà+mɘ́,Σ + m aa ¹ + m ɘ ⁵,,,optional_plural,,Konnerth2025Monsang,nopage,monsang
monsang296,kar,2.sg.nfut.neg,kàr-máː-tʃɘ́,Σmáátʃɘ́,Σ m aa ⁵ tʃ ɘ ⁵,Σ+máá+tʃɘ́,Σ + m aa ⁵ + tʃ ɘ ⁵,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang297,si,2.sg.nfut.neg,sì-màː-tʃɘ́,Σmààtʃɘ́,Σ m aa ¹ tʃ ɘ ⁵,Σ+màà+tʃɘ́,Σ + m aa ¹ + tʃ ɘ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang298,kar,2.pl.nfut.neg,kàr-máː-tʃ-ʷú,Σmáátʃʷú,Σ m aa ⁵ tʃ ʉ ⁵,Σ+máá+tʃ+ʷú,Σ + m aa ⁵ + tʃ + ʉ ⁵,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang299,si,2.pl.nfut.neg,sì-màː-tʃ-ʷú,Σmààtʃʷú,Σ m aa ¹ tʃ ʉ ⁵,Σ+màà+tʃ+ʷú,Σ + m aa ¹ + tʃ + ʉ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang300,kʰi:r,2.sg.1.sg.nfut.neg,ì-kʰíːr-máː-tʃɘ́,ìΣmáátʃɘ́,i ¹ Σ m aa ⁵ tʃ ɘ ⁵,ì+Σ+máá+tʃɘ́,i ¹ + Σ + m aa ⁵ + tʃ ɘ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang301,kʰi:r,2.sg.1.pl.excl.nfut.neg,ì-kʰíːr-máː-tʃ-ʷú,ìΣmáátʃʷú,i ¹ Σ m aa ⁵ tʃ ʉ ⁵,ì+Σ+máá+tʃ+ʷú,i ¹ + Σ + m aa ⁵ + tʃ + ʉ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang302,mu,2.sg.1.pl.excl.nfut.neg,ì-m̥ú-máː-tʃɘ́,ìΣmáátʃɘ́,i ¹ Σ m aa ⁵ tʃ ɘ ⁵,ì+Σ+máá+tʃɘ́,i ¹ + Σ + m aa ⁵ + tʃ ɘ ⁵,,,optional_plural,,Konnerth2025Monsang,nopage,monsang
monsang303,kʰi:r,2.pl.1.sg.nfut.neg,ì-kʰíːr-máː-tʃ-ʷú,ìΣmáátʃʷú,i ¹ Σ m aa ⁵ tʃ ʉ ⁵,ì+Σ+máá+tʃ+ʷú,i ¹ + Σ + m aa ⁵ + tʃ + ʉ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang304,kʰi:r,2.pl.1.pl.excl.nfut.neg,ì-kʰíːr-máː-tʃ-ʷú,ìΣmáátʃʷú,i ¹ Σ m aa ⁵ tʃ ʉ ⁵,ì+Σ+máá+tʃ+ʷú,i ¹ + Σ + m aa ⁵ + tʃ + ʉ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang305,kʰi:r,2.sg.3.sg.nfut.neg,kʰìːr-máː-tʃɘ́,Σmáátʃɘ́,Σ m aa ⁵ tʃ ɘ ⁵,Σ+máá+tʃɘ́,Σ + m aa ⁵ + tʃ ɘ ⁵,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang306,mu,2.sg.3.sg.nfut.neg,m̥ù-màː-tʃɘ́,Σmààtʃɘ́,Σ m aa ¹ tʃ ɘ ⁵,Σ+màà+tʃɘ́,Σ + m aa ¹ + tʃ ɘ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang307,kʰi:r,2.sg.3.pl.nfut.neg,kʰìːr-máː-hé-tʃɘ́,Σmááhétʃɘ́,Σ m aa ⁵ h e ⁵ tʃ ɘ ⁵,Σ+máá+hé+tʃɘ́,Σ + m aa ⁵ + h e ⁵ + tʃ ɘ ⁵,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang308,mu,2.sg.3.pl.nfut.neg,m̥ù-màː-hé-tʃɘ́,Σmààhétʃɘ́,Σ m aa ¹ h e ⁵ tʃ ɘ ⁵,Σ+màà+hé+tʃɘ́,Σ + m aa ¹ + h e ⁵ + tʃ ɘ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang309,kʰi:r,2.pl.3.sg.nfut.neg,kʰìːr-máː-tʃ-ʷú,Σmáátʃʷú,Σ m aa ⁵ tʃ ʉ ⁵,Σ+máá+tʃ+ʷú,Σ + m aa ⁵ + tʃ + ʉ ⁵,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang310,mu,2.pl.3.sg.nfut.neg,m̥ù-màː-tʃ-ʷú,Σmààtʃʷú,Σ m aa ¹ tʃ ʉ ⁵,Σ+màà+tʃ+ʷú,Σ + m aa ¹ + tʃ + ʉ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
monsang311,kʰi:r,2.pl.3.pl.nfut.neg,kʰìːr-máː-hé-tʃ-ʷú,Σmááhétʃʷú,Σ m aa ⁵ h e ⁵ tʃ ʉ ⁵,Σ+máá+hé+tʃ+ʷú,Σ + m aa ⁵ + h e ⁵ + tʃ + ʉ ⁵,,tone_alt_stem,,,Konnerth2025Monsang,nopage,monsang
monsang312,kʰi:r,2.pl.3.pl.nfut.neg,kʰìːr-máː-tʃ-ʷú,Σmáátʃʷú,Σ m aa ⁵ tʃ ʉ ⁵,Σ+máá+tʃ+ʷú,Σ + m aa ⁵ + tʃ + ʉ ⁵,,tone_alt_stem,optional_plural,,Konnerth2025Monsang,nopage,monsang
monsang313,mu,2.pl.3.pl.nfut.neg,m̥ù-màː-hé-tʃ-ʷú,Σmààhétʃʷú,Σ m aa ¹ h e ⁵ tʃ ʉ ⁵,Σ+màà+hé+tʃ+ʷú,Σ + m aa ¹ + h e ⁵ + tʃ + ʉ ⁵,default,,,,Konnerth2025Monsang,nopage,monsang
